iter	Passed	Remaining
0	1	340
1	3	316
2	4	306
3	6	333
4	8	331
5	9	326
6	10	320
7	12	315
8	13	311
9	15	314
10	17	313
11	18	308
12	20	319
13	22	317
14	24	313
15	25	309
16	26	305
17	28	302
18	29	300
19	31	298
20	32	295
21	34	293
22	35	290
23	36	288
24	38	285
25	39	284
26	41	282
27	42	279
28	44	281
29	47	283
30	49	285
31	50	283
32	52	281
33	53	278
34	55	278
35	56	275
36	58	273
37	59	271
38	61	269
39	62	267
40	64	265
41	65	264
42	67	262
43	68	260
44	70	258
45	71	257
46	73	255
47	74	253
48	76	251
49	77	249
50	79	248
51	80	246
52	82	244
53	83	242
54	84	240
55	86	239
56	87	237
57	89	236
58	90	234
59	92	232
60	93	230
61	95	228
62	96	227
63	98	225
64	99	224
65	101	222
66	102	220
67	104	218
68	105	217
69	107	215
70	108	214
71	109	212
72	111	210
73	112	209
74	114	207
75	115	205
76	117	204
77	118	202
78	120	200
79	121	199
80	123	197
81	124	196
82	126	194
83	127	192
84	128	191
85	130	189
86	131	187
87	133	186
88	135	185
89	137	184
90	138	182
91	140	181
92	141	179
93	143	178
94	145	177
95	146	175
96	148	173
97	149	172
98	150	170
99	152	169
100	153	167
101	155	165
102	156	164
103	158	162
104	159	161
105	161	159
106	162	158
107	164	156
108	165	154
109	167	153
110	168	151
111	170	150
112	171	148
113	173	147
114	174	145
115	176	144
116	177	142
117	178	140
118	180	139
119	181	137
120	183	136
121	184	134
122	186	133
123	187	131
124	189	130
125	190	128
126	192	127
127	193	125
128	195	124
129	196	122
130	198	121
131	199	119
132	200	117
133	202	116
134	203	114
135	205	113
136	207	112
137	208	110
138	210	109
139	211	107
140	213	106
141	215	104
142	216	102
143	217	101
144	219	99
145	220	98
146	222	96
147	224	95
148	226	94
149	227	92
150	229	91
151	231	89
152	232	88
153	233	86
154	235	85
155	236	83
156	238	81
157	239	80
158	241	78
159	242	77
160	244	75
161	245	74
162	246	72
163	248	71
164	249	69
165	251	68
166	252	66
167	254	65
168	255	63
169	257	61
170	258	60
171	259	58
172	261	57
173	262	55
174	264	54
175	265	52
176	267	51
177	268	49
178	270	48
179	271	46
180	272	45
181	274	43
182	275	42
183	276	40
184	278	39
185	280	37
186	281	36
187	282	34
188	284	33
189	285	31
190	287	30
191	288	28
192	290	27
193	291	25
194	293	24
195	294	22
196	296	21
197	297	19
198	298	18
199	300	16
200	302	15
201	303	13
202	304	12
203	306	10
204	308	9
205	309	7
206	311	6
207	312	4
208	314	3
209	315	1
210	316	0
